Brand,Product,Technology,Announced,Status,Dimension,Weight,SIM,USB,Size,Resolution,OS,Chipset,CPU,GPU,Card_slot,Internal,Jack,Bluetooth,GPS,NFC,Radio,Charging,Wlan,Sensor,Price,
XIAOMI,Mi 11,GSM / HSPA / LTE,"2021, March 29","Available. Released 2021, April 16",160.5 x 75.7 x 6.8 mm (6.32 x 2.98 x 0.27 in),157 g (5.54 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","USB Type-C 2.0, USB On-The-Go","6.55 inches, 103.6 cm2 (~85.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Android 11, MIUI 12",Qualcomm SM7150 Snapdragon 732G (8 nm),Octa-core (2x2.3 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",No,"5.1, A2DP, LE","Yes, A-GPS, GLONASS, BDS, GALILEO",Yes (market/region dependent),No,Fast charging 33W,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Fingerprint (side-mounted), accelerometer, gyro, compass","$â€‰309.99 / Â£â€‰254.40 / â‚¬â€‰249.00 / Rpâ€‰3,650,000",
XIAOMI,Redmi 9 Power,GSM / HSPA / LTE,"2020, December 17","Available. Released 2020, December 22",162.3 x 77.3 x 9.6 mm (6.39 x 3.04 x 0.38 in),198 g (6.98 oz),"Dual SIM (Nano-SIM, dual stand-by)","USB Type-C 2.0, USB On-The-Go","6.53 inches, 104.7 cm2 (~83.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Android 10, MIUI 12",Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",Yes,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,FM radio,"Fast charging 18W
Reverse charging 2.5W","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Fingerprint (side-mounted), accelerometer, proximity, compass","â‚_â€‰11,499",
XIAOMI,Mi Watch Lite,No cellular connectivity,"2020, December 10","Available. Released 2020, December 18",41 x 35 x 11.9 mm (1.61 x 1.38 x 0.47 in),35 g (1.23 oz),No,No,1.4 inches,320 x 320 pixels (~323 ppi density),Proprietary OS, , , ,No,Unspecified storage,No,"5.0, A2DP, LE","Yes, with GLONASS",No,No, ,No,"Accelerometer, gyro, heart rate, barometer",$â€‰88.06 / â‚¬â€‰54.00,
XIAOMI,Redmi Note 9 Pro 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2020, November 26","Available. Released 2020, December 01",165.4 x 76.8 x 9 mm (6.51 x 3.02 x 0.35 in),215 g (7.58 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",USB Type-C 2.0,"6.67 inches, 107.4 cm2 (~84.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Android 10, MIUI 12",Qualcomm SM7225 Snapdragon 750G 5G (8 nm),Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),Adreno 619,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",Yes,"5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, GNSS",Yes,Unspecified,"Fast charging 33W, 100% in 58 min (advertised)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Fingerprint (side-mounted), accelerometer, gyro, compass",About 260 EUR,
XIAOMI,Redmi Note 9 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2020, November 26","Available. Released 2020, December 01",162 x 77.3 x 9.2 mm (6.38 x 3.04 x 0.36 in),199 g (7.02 oz),"Dual SIM (Nano-SIM, dual stand-by)",USB Type-C 2.0,"6.53 inches, 104.7 cm2 (~83.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Android 10, MIUI 12",MediaTek MT6853 Dimensity 800U 5G (7 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC3,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",Yes,"5.1, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS",No,Unspecified,Fast charging 18W,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",About 170 EUR,
XIAOMI,Redmi Note 9 4G,GSM / CDMA / HSPA / LTE,"2020, November 26","Available. Released 2020, November 26",162.3 x 77.3 x 9.6 mm (6.39 x 3.04 x 0.38 in),198 g (6.98 oz),"Dual SIM (Nano-SIM, dual stand-by)","USB Type-C 2.0, USB On-The-Go","6.53 inches, 104.7 cm2 (~83.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Android 10, MIUI 12",Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",Yes,"4.2, A2DP","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,FM radio,"Fast charging 18W
Reverse charging 2.5W","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Fingerprint (side-mounted), accelerometer, proximity, compass",About 130 EUR,
XIAOMI,Redmi Watch,No cellular connectivity,"2020, November 26","Available. Released 2020, December 01",41 x 35 x 11.9 mm (1.61 x 1.38 x 0.47 in),35 g (1.23 oz),No,No,1.4 inches,320 x 320 pixels (~323 ppi density),Proprietary OS, , , ,No, ,No,"5.0, A2DP, LE",Yes (market/region dependent),Yes (market/region dependent),No, ,No,"Accelerometer, heart rate, compass",About 30 EUR,
XIAOMI,Poco M3,GSM / HSPA / LTE,"2020, November 24","Available. Released 2020, November 27",162.3 x 77.3 x 9.6 mm (6.39 x 3.04 x 0.38 in),198 g (6.98 oz),"Dual SIM (Nano-SIM, dual stand-by)","USB Type-C 2.0, USB On-The-Go","6.53 inches, 104.7 cm2 (~83.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Android 10, MIUI 12",Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",Yes,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO",No,FM radio,"Fast charging 18W
Reverse charging","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Fingerprint (side-mounted), accelerometer, proximity, compass","$â€‰159.99 / Â£â€‰165.00 / â‚¬â€‰195.00 / â‚_â€‰10,499 / Rpâ€‰2,299,000",
XIAOMI,Redmi K30S,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2020, October 27","Available. Released 2020, November 11",165.1 x 76.4 x 9.3 mm (6.5 x 3.01 x 0.37 in),216 g (7.62 oz),"Dual SIM (Nano-SIM, dual stand-by)","USB Type-C 2.0, USB On-The-Go","6.67 inches, 107.4 cm2 (~85.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Android 10, MIUI 12",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),Adreno 650,No,"128GB 8GB RAM, 256GB 8GB RAM",No,"5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC",Yes,No,"Fast charging 33W
Power Delivery 3.0
Quick Charge 4+","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",About 330 EUR,
XIAOMI,Mi Watch Color Sports,No cellular connectivity,"2020, October 20","Available. Released 2020, November 01",53.4 x 45.9 x 11.8 mm (2.10 x 1.81 x 0.46 in),32.5 g (1.16 oz),No,No,1.39 inches,454 x 454 pixels (~326 ppi density),Proprietary OS, , , ,No, ,No,"5.0, A2DP, LE","Yes, with GLONASS, GALILEO",Yes,No, ,Wi-Fi 802.11 b/g/n,"Accelerometer, gyro, heart rate, barometer",About 90 EUR,
